mutant_type,generation,treatment,replicate,homo_wt,hetero_wt,mutant,q
brown,0,NT,1,9,42,49,0.7
brown,0,NT,2,9,42,49,0.7
brown,0,NT,3,9,42,49,0.7
brown,0,NT,4,9,42,49,0.7
brown,0,UCT,1,9,42,49,0.7
brown,0,UCT,2,9,42,49,0.7
brown,0,UCT,3,9,42,49,0.7
brown,0,SCT,1,9,42,49,0.7
brown,0,SCT,2,9,42,49,0.7
brown,0,SCT,3,9,42,49,0.7
brown,3,NT,1,4,21,25,0.71
brown,3,NT,2,NA,NA,NA,NA
brown,3,NT,3,5,21,22,0.677083333
brown,3,NT,4,10,21,19,0.59
brown,3,UCT,1,4,22,26,0.711538462
brown,3,UCT,2,4,24,21,0.673469388
brown,3,UCT,3,13,17,19,0.56122449
brown,3,SCT,1,2,23,25,0.73
brown,3,SCT,2,2,20,24,0.739130435
brown,3,SCT,3,4,20,26,0.72
brown,6,NT,1,5,27,18,0.63
brown,6,NT,2,NA,NA,NA,NA
brown,6,NT,3,14,20,16,0.52
brown,6,NT,4,10,29,11,0.51
brown,6,UCT,1,11,24,14,0.530612245
brown,6,UCT,2,11,19,20,0.59
brown,6,UCT,3,8,30,12,0.54
brown,6,SCT,1,7,26,17,0.6
brown,6,SCT,2,14,22,14,0.5
brown,6,SCT,3,8,27,15,0.57
forked,0,NT,1,30,NA,70,0.7
forked,0,NT,2,30,NA,70,0.7
forked,0,NT,3,30,NA,70,0.7
forked,0,UCT,1,30,NA,70,0.7
forked,0,UCT,2,30,NA,70,0.7
forked,0,UCT,3,30,NA,70,0.7
forked,0,SCT,1,30,NA,70,0.7
forked,0,SCT,2,30,NA,70,0.7
forked,0,SCT,3,30,NA,70,0.7
forked,3,NT,1,33,NA,67,0.67
forked,3,NT,2,44,NA,56,0.56
forked,3,NT,3,52,NA,48,0.48
forked,3,UCT,1,36,NA,64,0.64
forked,3,UCT,2,56,NA,44,0.44
forked,3,UCT,3,65,NA,35,0.35
forked,3,SCT,1,55,NA,45,0.45
forked,3,SCT,2,40,NA,60,0.6
forked,3,SCT,3,4,NA,96,0.96
forked,6,NT,1,58,NA,42,0.42
forked,6,NT,2,76,NA,24,0.24
forked,6,NT,3,69,NA,31,0.31
forked,6,UCT,1,42,NA,58,0.58
forked,6,UCT,2,70,NA,30,0.3
forked,6,UCT,3,80,NA,20,0.2
forked,6,SCT,1,55,NA,45,0.45
forked,6,SCT,2,63,NA,37,0.37
forked,6,SCT,3,10,NA,90,0.9
plexus,0,NT,1,9,42,49,0.7
plexus,0,NT,2,9,42,49,0.7
plexus,0,NT,3,9,42,49,0.7
plexus,0,UCT,1,9,42,49,0.7
plexus,0,UCT,2,9,42,49,0.7
plexus,0,UCT,3,9,42,49,0.7
plexus,0,SCT,1,9,42,49,0.7
plexus,0,SCT,2,9,42,49,0.7
plexus,0,SCT,3,9,42,49,0.7
plexus,3,NT,1,7,24,18,0.612244898
plexus,3,NT,2,6,30,14,0.58
plexus,3,NT,3,6,28,14,0.583333333
plexus,3,UCT,1,10,17,22,0.62244898
plexus,3,UCT,2,3,30,17,0.64
plexus,3,UCT,3,5,21,24,0.69
plexus,3,SCT,1,10,22,15,0.553191489
plexus,3,SCT,2,6,24,17,0.617021277
plexus,3,SCT,3,11,22,15,0.541666667
plexus,6,NT,1,18,22,7,0.382978723
plexus,6,NT,2,10,29,10,0.5
plexus,6,NT,3,16,22,11,0.448979592
plexus,6,UCT,1,18,25,7,0.39
plexus,6,UCT,2,19,19,7,0.366666667
plexus,6,UCT,3,10,25,15,0.55
plexus,6,SCT,1,19,26,5,0.36
plexus,6,SCT,2,25,20,3,0.270833333
plexus,6,SCT,3,25,16,9,0.34
vestigial,0,NT,1,9,42,49,0.7
vestigial,0,NT,2,9,42,49,0.7
vestigial,0,NT,3,9,42,49,0.7
vestigial,0,UCT,1,9,42,49,0.7
vestigial,0,UCT,2,9,42,49,0.7
vestigial,0,UCT,3,9,42,49,0.7
vestigial,0,SCT,1,9,42,49,0.7
vestigial,0,SCT,2,9,42,49,0.7
vestigial,0,SCT,3,9,42,49,0.7
vestigial,3,NT,1,23,14,7,0.318181818
vestigial,3,NT,2,25,13,7,0.3
vestigial,3,NT,3,19,20,8,0.382978723
vestigial,3,UCT,1,24,16,6,0.304347826
vestigial,3,UCT,2,18,21,8,0.393617021
vestigial,3,UCT,3,14,23,8,0.433333333
vestigial,3,SCT,1,22,22,2,0.282608696
vestigial,3,SCT,2,16,22,8,0.413043478
vestigial,3,SCT,3,25,18,4,0.276595745
vestigial,8,NT,1,31,18,1,0.2
vestigial,8,NT,2,41,8,1,0.1
vestigial,8,NT,3,36,9,1,0.119565217
vestigial,8,UCT,1,37,13,0,0.13
vestigial,8,UCT,2,35,7,2,0.125
vestigial,8,UCT,3,31,17,2,0.21
vestigial,8,SCT,1,37,11,0,0.114583333
vestigial,8,SCT,2,35,12,2,0.163265306
vestigial,8,SCT,3,36,22,1,0.203389831
white,0,NT,1,30,NA,70,0.7
white,0,NT,2,30,NA,70,0.7
white,0,NT,3,30,NA,70,0.7
white,0,UCT,1,30,NA,70,0.7
white,0,UCT,2,30,NA,70,0.7
white,0,UCT,3,30,NA,70,0.7
white,0,SCT,1,30,NA,70,0.7
